author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
Twitter,"#TNF has arrived. 🙌

Tune in to #NYGvsPHI streaming LIVE on Twitter.

https://t.co/WdzHD98QAg",,23/12/2016 01:29,8.12108e+17,en,,,491,156
Twitter,"Get warmed up!

The #TNF pre-game show is LIVE, right here on Twitter. 

https://t.co/WdzHD98QAg",,23/12/2016 00:35,8.12094e+17,en,,,425,116
Twitter,"Don’t miss @Giants vs @Eagles, streaming LIVE on Twitter! #TNF

Go to Moments or https://t.co/WdzHD98QAg to watch. https://t.co/gOfKtS2apZ",,22/12/2016 23:38,8.1208e+17,en,,,552,147
Twitter,@OBJ_3 You can watch with one hand. https://t.co/cD8zreOdaY,,22/12/2016 20:43,8.12036e+17,en,,,184,55
Twitter,"NFL Playoffs are at stake.

Who’s going home with the win from tonight’s #TNF matchup?",,22/12/2016 20:26,8.12032e+17,en,,,307,94
Twitter,"Thursday means #TNF! Every snap of #NYGvsPHI streams LIVE right here on Twitter.

Go to Moments or https://t.co/WdzHD98QAg to watch.",,22/12/2016 18:10,8.11997e+17,en,,,605,204
Twitter,"@BeccaZ We love it, now let’s talk about that pumpkin cheesecake. 😉 https://t.co/j4giVUcPTZ",,22/12/2016 00:25,8.11729e+17,en,,,68,28
Twitter,@markibiscuit And what a beautiful second family you have. 🤗,,22/12/2016 00:24,8.11729e+17,en,,,44,17
Twitter,@Landonsn Suh dude. ✌️,,22/12/2016 00:24,8.11729e+17,in,,,138,22
Twitter,@nyancat9091 Like fur-real this is litter-ally purr-fect.,,22/12/2016 00:23,8.11729e+17,en,,,33,13
Twitter,@ffgarrison If we didn’t know any better we would have thought that beard was real…😏,,22/12/2016 00:23,8.11729e+17,en,,,26,11
Twitter,"@robertjackcook WE DO, WE REALLY DOOOOOOOOOO.",,22/12/2016 00:22,8.11729e+17,en,,,26,13
Twitter,"#TNF is back in action TOMORROW! #NYGvsPHI streams LIVE, right here on Twitter. 

Go to Moments or https://t.co/WdzHD9qrrO to watch.",,21/12/2016 22:35,8.11702e+17,en,,,423,132
Twitter,"Why does the shortest day of the year seem like the longest? #WinterSolstice

https://t.co/TWXHo2ysLV",,21/12/2016 20:07,8.11664e+17,en,,,2066,738
Twitter,@wesleysnipes There's only one Willie Mays Hayes in our eyes.,,21/12/2016 02:17,8.11395e+17,en,,,75,34
Twitter,@jadedlxve This is everything. 🙌,,21/12/2016 02:16,8.11395e+17,en,,,47,20
Twitter,@javaadbeg Now you’re just making us blush. 😊,,21/12/2016 02:16,8.11395e+17,en,,,37,15
Twitter,@IamShortiePiexo We've heard that's where the heart is. ❤️,,21/12/2016 02:16,8.11395e+17,en,,,24,17
Twitter,@chinozc Make sure to send us a postcard. https://t.co/3sMy1zUTXv,,21/12/2016 02:16,8.11395e+17,en,,,48,22
Twitter,"@DoctorChristian We may not be a doctor, but we’re always here for you. 😊",,21/12/2016 02:15,8.11395e+17,en,,,54,20
Twitter,@muddymudskipper @wesleysnipes True. His Twitter is 🔥.,,20/12/2016 22:35,8.11339e+17,en,,,49,19
Twitter,"@Jamie__Sharples Tbh, not the worst idea. 😴",,20/12/2016 22:35,8.11339e+17,en,,,27,15
Twitter,@ItsSuperJhakez We have so much in common. https://t.co/l6Gc6Kv4SH,,20/12/2016 22:34,8.11339e+17,en,,,45,18
Twitter,"@ZappullaJ @jimmykimmel What happens in the drafts, stays in the drafts...",,20/12/2016 22:34,8.11339e+17,en,,,32,12
Twitter,@HANNAHYPENA Just seeing this Tweet alone is melting our heart! 😍,,20/12/2016 22:33,8.11339e+17,en,,,40,17
Twitter,"@selenriana @sleepinwithari @holdinmoonlight Friends that Tweet together, stay together. 🙌",,20/12/2016 22:33,8.11339e+17,en,,,43,22
Twitter,"You made our year, and you made our year, and EVERYBODY made our year!!! #PeopleWhoMadeMy2016 https://t.co/7OeqBnU2ye",,20/12/2016 22:12,8.11333e+17,en,,,1265,301
Twitter,"By car, plane or sleigh — where are you heading for the holidays? #TravelTuesday https://t.co/bEjPM51QqY",,20/12/2016 19:48,8.11297e+17,en,,,793,177
Twitter,"@MrGeorgeWallace Whether it be on stage, off stage, or right here on Twitter, you make us laugh and we appreciate you for that. 🙌",,20/12/2016 05:42,8.11084e+17,en,,,82,27
Twitter,@dickmildredsara In love!?!?! https://t.co/rglezsmfOH,,19/12/2016 23:14,8.10987e+17,en,,,67,27
Twitter,"@SusieRants Susie, thanks for being you. It’s nice having you here. 🤗",,19/12/2016 23:13,8.10986e+17,en,,,30,15
Twitter,@Katie_Ferrell @MarkTaylorNBC4 This is what dreams are made of. https://t.co/a7ywHIITbE,,19/12/2016 23:13,8.10986e+17,en,,,39,20
Twitter,"#NYGvsPHI goes down Thursday, streaming LIVE on Twitter!

Tweet your predictions with #FlyEaglesFly or #GiantsPride
https://t.co/x9oX92S8ga",,19/12/2016 22:12,8.10971e+17,en,,,547,164
Twitter,"For all you taught us of glamour and grace.

https://t.co/JIiA85zTHq",,19/12/2016 01:09,8.10653e+17,en,,,1897,705
Twitter,"Saving the day &amp; stealing our hearts. #SuperKaheem

https://t.co/jUfm6yFo5N",,17/12/2016 16:07,8.10154e+17,en,,,979,281
